GEOID,geometry
470650016001,POINT (-85.321976 35.040662)
470650029001,POINT (-85.238145 35.018121)
470650006003,POINT (-85.30759 35.062406)
470650109011,POINT (-85.318105 35.060953)
470650031001,POINT (-85.306156 35.050078)
470650004001,POINT (-85.291001 35.047807)
470650020001,POINT (-85.309194 35.036589)
470650020001,POINT (-85.316712 35.033326)
470650028003,POINT (-85.247509 35.023922)
470650030002,POINT (-85.204379 35.010435)
470650114022,POINT (-85.18872 35.086855)
470650033001,POINT (-85.220227 35.042152)
470650030002,POINT (-85.205068 35.008489)
470650113214,POINT (-85.153486 35.030315)
470650109021,POINT (-85.33221 35.094377)
470650121004,POINT (-85.376313 35.015614)
470650011002,POINT (-85.272802 35.03489)
470650031001,POINT (-85.309787 35.050522)
470650025003,POINT (-85.293085 35.015171)
470650016001,POINT (-85.320577 35.041559)
470650121004,POINT (-85.366113 35.0217)
470650007003,POINT (-85.289502 35.069475)
470650124003,POINT (-85.306341 35.037362)
470650031001,POINT (-85.310346 35.051738)
470650004001,POINT (-85.280212 35.044153)
470650124003,POINT (-85.304214 35.035092)
470650016001,POINT (-85.321204 35.050858)
470650031001,POINT (-85.311609 35.054423)
470650031001,POINT (-85.310975 35.052094)
470650121004,POINT (-85.380899 35.018614)
470650008001,POINT (-85.312313 35.063972)
470650016001,POINT (-85.318139 35.040661)
470650016001,POINT (-85.318977 35.042908)
470650023001,POINT (-85.29214 34.988223)
470650020002,POINT (-85.312445 35.026861)
470650113214,POINT (-85.151658 35.030928)
470650026002,POINT (-85.280422 35.018542)
470650019002,POINT (-85.320297 35.020435)
470650121004,POINT (-85.374643 35.01779)
470650104314,POINT (-85.248152 35.154476)
470650004001,POINT (-85.286959 35.046745)
470650114461,POINT (-85.172642 35.017624)
470650124003,POINT (-85.306113 35.036602)
470650006001,POINT (-85.306952 35.062688)
470650114451,POINT (-85.192141 35.028129)
470650012003,POINT (-85.259187 35.043013)
470650004001,POINT (-85.28993 35.048659)
470650104334,POINT (-85.242525 35.121601)
470650114451,POINT (-85.189907 35.030275)
470650020001,POINT (-85.314558 35.032342)
470650105016,POINT (-85.271126 35.106223)
470650020001,POINT (-85.31208 35.035611)
470650124003,POINT (-85.298978 35.039041)
470650104314,POINT (-85.247713 35.156823)
470650019003,POINT (-85.327858 35.009758)
470659801001,POINT (-85.201856 35.032046)
470650114462,POINT (-85.155971 35.035982)
470650012003,POINT (-85.263192 35.045809)
470650026003,POINT (-85.288914 35.02064)
470650104321,POINT (-85.238409 35.122876)
470650016001,POINT (-85.317844 35.05332)
470650016001,POINT (-85.318019 35.047547)
470650104333,POINT (-85.259278 35.114432)
470650113211,POINT (-85.160391 35.020591)
470650008001,POINT (-85.312322 35.064436)
470650016001,POINT (-85.321681 35.049656)
470650012002,POINT (-85.265916 35.033021)
470650114452,POINT (-85.181413 35.035478)
470650006001,POINT (-85.308342 35.065132)
470650109021,POINT (-85.328095 35.098197)
470650031001,POINT (-85.312706 35.055247)
470650104314,POINT (-85.247653 35.143766)
470650008001,POINT (-85.314396 35.062902)
470650104334,POINT (-85.242521 35.120577)
470650008001,POINT (-85.314397 35.062865)
470650123003,POINT (-85.23608 35.081074)
470650016001,POINT (-85.321333 35.048331)
470650104314,POINT (-85.247964 35.142454)
470650121004,POINT (-85.364525 35.026238)
470650006001,POINT (-85.308331 35.063286)
470650016001,POINT (-85.315092 35.042644)
470650030002,POINT (-85.204294 35.010157)
470650030002,POINT (-85.212626 35.010713)
470650028003,POINT (-85.248228 35.024106)
470650029001,POINT (-85.238416 35.018648)
470650030002,POINT (-85.205698 35.009692)
470650104314,POINT (-85.246232 35.154256)
470650109021,POINT (-85.331773 35.095378)
470650104353,POINT (-85.25139 35.147443)
470650104314,POINT (-85.245304 35.139454)
470650113231,POINT (-85.151222 35.045289)
470650030002,POINT (-85.212993 35.011268)
470650114452,POINT (-85.181687 35.035171)
470650121004,POINT (-85.374318 35.016434)
470650016001,POINT (-85.320642 35.050015)
470650104312,POINT (-85.22243 35.154532)
470650016001,POINT (-85.317956 35.04378)
470650004001,POINT (-85.295038 35.050207)
470650019002,POINT (-85.322665 35.013756)
470650011002,POINT (-85.281235 35.03808)
470650016001,POINT (-85.32169 35.047734)
470650004001,POINT (-85.290914 35.050563)
470650124003,POINT (-85.306121 35.036927)
470650031001,POINT (-85.313591 35.04306)
470650031001,POINT (-85.305253 35.054669)
470650016001,POINT (-85.317012 35.044028)
470650114111,POINT (-85.250171 35.09876)
470650123001,POINT (-85.268397 35.077264)
470650014002,POINT (-85.2747 35.031614)
470650031001,POINT (-85.30904 35.045232)
470650030001,POINT (-85.219818 35.010836)
470650031001,POINT (-85.311058 35.046184)
470650016001,POINT (-85.31718 35.047436)
470650114462,POINT (-85.151708 35.038121)
470650031001,POINT (-85.309271 35.05523)
470650028002,POINT (-85.242402 35.022184)
470650033006,POINT (-85.24119 35.032994)
470650031001,POINT (-85.312117 35.039151)
470650031001,POINT (-85.309079 35.044073)
470650016001,POINT (-85.321976 35.040662)
470650029001,POINT (-85.238145 35.018121)
470650109021,POINT (-85.328918 35.098603)
470650020001,POINT (-85.311653 35.036018)
470650020001,POINT (-85.308512 35.036297)
470650124003,POINT (-85.304441 35.035799)
470650031001,POINT (-85.309584 35.037206)
470650008001,POINT (-85.308883 35.063664)
470650031001,POINT (-85.307471 35.039996)
470650011002,POINT (-85.282657 35.038414)
470650031001,POINT (-85.308453 35.042444)
470650030002,POINT (-85.205068 35.008489)
470650109021,POINT (-85.33221 35.094377)
470650113211,POINT (-85.155281 35.024387)
470650121004,POINT (-85.376313 35.015614)
470650124003,POINT (-85.306101 35.035939)
470650124003,POINT (-85.305727 35.035832)
470650008001,POINT (-85.309208 35.064096)
470650020001,POINT (-85.313066 35.034614)
470650020001,POINT (-85.308918 35.036458)
470650124003,POINT (-85.304214 35.035092)
470650031001,POINT (-85.310918 35.051663)
470650031001,POINT (-85.307482 35.036451)
470650012002,POINT (-85.265945 35.038405)
470650122001,POINT (-85.259166 35.054602)
470650104353,POINT (-85.252431 35.144782)
470650031001,POINT (-85.313411 35.043611)
470650114021,POINT (-85.196611 35.075349)
470650104321,POINT (-85.242409 35.130715)
470650004001,POINT (-85.269599 35.052634)
470650008001,POINT (-85.309762 35.064478)
470650124003,POINT (-85.307078 35.039986)
470650031001,POINT (-85.310819 35.047317)
470650113214,POINT (-85.151658 35.030928)
470650104321,POINT (-85.240916 35.126995)
470650114462,POINT (-85.15338 35.041217)
470650019002,POINT (-85.321758 35.019292)
470650030002,POINT (-85.212196 35.012259)
470650113211,POINT (-85.157562 35.025494)
470650026001,POINT (-85.279179 35.017407)
470650113211,POINT (-85.156226 35.025488)
470650114462,POINT (-85.152777 35.038709)
470650008001,POINT (-85.308718 35.073369)
470650004001,POINT (-85.28993 35.048659)
470650020001,POINT (-85.318066 35.034827)
470650014001,POINT (-85.289745 35.029744)
470650104321,POINT (-85.238059 35.133043)
470650020001,POINT (-85.314558 35.032342)
470650020001,POINT (-85.31208 35.035611)
470650020001,POINT (-85.308874 35.032225)
470650124003,POINT (-85.303254 35.03581)
470650008001,POINT (-85.3093 35.065822)
470650020001,POINT (-85.315332 35.036427)
470650019003,POINT (-85.326014 35.009749)
470650028002,POINT (-85.246041 35.023659)
470650006002,POINT (-85.303997 35.061606)
470650020001,POINT (-85.304334 35.033088)
470650020001,POINT (-85.30316 35.03432)
470650008001,POINT (-85.314216 35.063368)
470650031001,POINT (-85.308674 35.042809)
470650020001,POINT (-85.313573 35.034291)
470650114462,POINT (-85.1566 35.040408)
470650113231,POINT (-85.149961 35.043931)
470650006001,POINT (-85.308342 35.065132)
470650113214,POINT (-85.15132 35.0332)
470650034001,POINT (-85.204131 35.018061)
470650104333,POINT (-85.254856 35.115488)
470650105016,POINT (-85.264235 35.112467)
470650113214,POINT (-85.14672 35.035925)
470650026003,POINT (-85.288941 35.020608)
470650114453,POINT (-85.158462 35.043162)
470650113231,POINT (-85.153181 35.043763)
470650113214,POINT (-85.151708 35.034304)
470650030002,POINT (-85.205698 35.009692)
470650008001,POINT (-85.314143 35.063129)
470650109021,POINT (-85.331773 35.095378)
470650104353,POINT (-85.25139 35.147443)
470650104321,POINT (-85.240555 35.129062)
470650113231,POINT (-85.151222 35.045289)
470650113211,POINT (-85.156831 35.02469)
470650030002,POINT (-85.212993 35.011268)
470650121004,POINT (-85.374318 35.016434)
470650004001,POINT (-85.278089 35.046358)
470650004001,POINT (-85.271541 35.04404)
470650020001,POINT (-85.301006 35.030425)
470650016001,POINT (-85.324155 35.050027)
470650031001,POINT (-85.30904 35.045232)
470650020001,POINT (-85.318547 35.037865)
470650020001,POINT (-85.308674 35.034099)
470650031001,POINT (-85.31284 35.051937)
470650016001,POINT (-85.321976 35.040662)
470650008001,POINT (-85.31196 35.06387)
470650124003,POINT (-85.306918 35.0382)
470650104321,POINT (-85.241144 35.13259)
470650030002,POINT (-85.205068 35.008489)
470650104314,POINT (-85.245544 35.153133)
470650104334,POINT (-85.245303 35.128355)
470650104321,POINT (-85.242318 35.131337)
